RPL_+	RPS_+	Mito-RP	Protein_IDs
FALSE	TRUE	FALSE	P62270;F6YVP7;S4R1N6
FALSE	TRUE	FALSE	G3UYV7;P62858;J3QNN8
FALSE	TRUE	FALSE	P14131
FALSE	TRUE	FALSE	P14206
FALSE	TRUE	FALSE	P25444;D3YVC1;D3YWJ3;J3QMG5;F6YTZ4;D3Z536
FALSE	TRUE	FALSE	P60867
FALSE	TRUE	FALSE	P62082;F6SVV1
FALSE	TRUE	FALSE	P62242
FALSE	TRUE	FALSE	P62245;F8WJ41;D3YVB4;D3Z712
FALSE	TRUE	FALSE	P62264;D3Z7I1;D3YVF4
FALSE	TRUE	FALSE	P62267
FALSE	TRUE	FALSE	P62274;D3YYL7
FALSE	TRUE	FALSE	P62281
FALSE	TRUE	FALSE	P62301
FALSE	TRUE	FALSE	P62702;V9GWY0
FALSE	TRUE	FALSE	P62754
FALSE	TRUE	FALSE	P62843
FALSE	TRUE	FALSE	P62849-2;P62849-3;P62849
FALSE	TRUE	FALSE	P62852
FALSE	TRUE	FALSE	P62855
FALSE	TRUE	FALSE	P62862;Q642K5
FALSE	TRUE	FALSE	P62908;D3YV43
FALSE	TRUE	FALSE	P62983;E9Q9J0;E9Q4P0
FALSE	TRUE	FALSE	P63276
FALSE	TRUE	FALSE	P63325;Q3UW83
FALSE	TRUE	FALSE	P97351
FALSE	TRUE	FALSE	Q3V1Z5
FALSE	TRUE	FALSE	Q6ZWN5;F7CJS8;D3YWH9;Q9CXW7;D3Z673;D3YUV6
FALSE	TRUE	FALSE	Q6ZWU9
FALSE	TRUE	FALSE	Q6ZWY3;D6RH49;D3YYB0
FALSE	TRUE	FALSE	Q6ZWZ6;P63323
FALSE	TRUE	FALSE	Q91V55;P97461;D3YYM6
FALSE	TRUE	FALSE	Q9CQR2
FALSE	TRUE	FALSE	Q9CZX8;D3YUT3;D3Z5R8;D3Z722;D3YUG3;S4R223
TRUE	FALSE	FALSE	A2A547;P84099
TRUE	FALSE	FALSE	Q9CXW4;E9PYL9
TRUE	FALSE	FALSE	E9Q070;D3YVM5
